label_bullying,text_message
1,even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.
0,"I've never found a way so I ""star"" those. I love GMail when I don't hate it."
1,Smack a bitch? :-D
0,Hate what ?
1,rock  not the. He gives the emo populists limp wrist rocker throw.
1,Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!
1,i feel fucking great get me another drink
0,"OMG I LOVE THAT SONG XD

ITS FUCKING HILARIOUS"
0,I hate auntie flow too.  I should be starting soon. :(  I gained weight this week from pms (eating a lot)!
0,How do you do that? I HATE my Blackjack so much I have almost resorted to violence?
1,"You've got 5"" of snow?  Damn.  I'm jealous."
1,It just sucks that so many use it as a crutch.
1,They say I have the best ass this side of fourteenth street.
1,yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site
1,ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x
0,if the opportunity arises  aye aye. God  I hate kids.
1,Fuck  amen to that
1,Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:
1,I knw!!!!!  I hate that! D:
1,Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(
1,yeah. i had to beg the stupid teacher. it was so gay.
1,yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...
1,told ya she was fat! she's loyal tho  she has this goin for her...
1,if you tweet about that damn song one more time.... And its on the Scion double disc promo cd
1,I have all th nerd at home and I'm a smart ass too. So I answered you
1,u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh
1,you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P
1,haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!
1,and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol
1,I like the verses to the song....just not that lame ass auto tuning nigga on the hook
1,hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao
1,way to damn hard
1,"the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd"""
1,but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha
1,DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.
1,No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;
0,yeah hes fucking serious
1,it was a joke haha. i figured id be emo too since everyone is complaining on here
0,"Being on fire is ""safe""? I'd hate to see what you consider peril!"
1,It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.
1,o so the rumors are true i am OBESE! yea fat!
1,girlfriend where the fuck did u find that photo! lmao!
1,ur a damn fool lmao
1,They're not my preference  but the app is so damn fast and thorough that I let it slide.
1, Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :)
1,Tell them you want YouTube to quit fucking with things that no one wants fucked with.
1,No  you just piss out anything your body won't absorb.
1,Doh! dont you hate it when that happens  I keep meaning to take a backup myself
1,Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...
1,Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold
1,"
Can ANYBODY  ANYBODY PLEASE TELL ME what LMAO means???
This is a CRY 4 HELP!!!
WHAT THE FUCK DOES IT MEAN???
hate text talking"
0,Sure  name your price. Oh fuck  sorry I'm not THAT pissed
1,: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!
1,less #damn-fridays  more #bad_wookie_pun
0,fuck...I forgot
1,women are fucking disgusting.
1,you bet your sweet ass you will!
0,i hate myspaces people you should know
1,dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.
1, will do when i get home  only time i heard it was warped though  fuck life!
0,ah damn!
0,the beef stew from that latin place? I fucking loved their coffee i wanna eat there again.
0,AHHHH. Brandy!!!! I LOVE 'HUMAN' like a fat kid loves cake! Thank you for making this album. AHHHHH I love you girl!! OMG!!!!!!
1,Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol
1,i got ur ticks  but yo ass ain't gonna come! lol
1,Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?
0,Dude. That. Sucks. :(
0,haha thats sucks.. if that happened to me  idk what i would have done.
1,stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;)
1,"Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)"
1,gee  i'd hate to see what you say about the family ;)
1,dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.
0,oooo she's gonna go kick your ass now XD
1,damn fine! The snow is gone thank god!
1,That sucks.  Life can't really be that bad  right?  Chocolate does always help.
1,i hate you :P happy birthday dude  good to know your enjoying it
1,thats a good question.  most lawyers HATE that stuff.
1,YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME
1,oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.
1,ummm. Ya. That's pretty damn pimp.
1,as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power
1,got delayed.  your ass kicking will have to wait.
1,I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?
1,it was just a joke man..i wasnt taking the piss out of anything.
0,I HATE tht
1,i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and
0,whale wars?? sounds epic.
0,can't you wind the flash levels down? I hate flash  I'd rip the things off if I could...
1,i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.
1,I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).
1,"Are you laughing your ass off with all these ""juicy"" twits?"
1,yeah we do... damn this time difference *HUGS*
1,OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred
1,hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?
0,LOL!!  It's ok to admit that you got fat  or phat :-P. Hahahahaha jk :-D.
0,"drm sucks.
-a"
0,drm sucks.
1,yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.
1,wow - mommy's little cheerleader! *must... not... take... the...piss......*
1,lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol
1,oh hot damn!
1,He can't hear you  his head's too far up his own ass.
1,Prison Bitch is a sparkling addition to any resume.
1,a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes)
1,that sucks that you're sick. Sorry to hear that.
1,No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :)
1,try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?
1,Football. I hate it. It&#8217;s official  I&#8217;m bad luck.
1,I fucking love Haunted.
1,I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.
1,lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.
1,Yea it sucks!!
1,Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.
1,yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards
1,hot damn! did you get an iPhone too?
1,aw  thanks. it's going better than yesterday  that's for damn sure. :-D
1,no. i must have missed that one. damn. ;-)
1,have a safe flight.....damn now you make me want some jamba juice
1,I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.
1,http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?
1,him and his damn tech stuff bwahaha
1,i'm not emo. I'm fucking happy!
1,well now I have to edit myself and you know how I hate that!
1,if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.
1,what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny
1,& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS
1,you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.
1,i get that ha ha smart ass :p
1,i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times
1,Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.
1,Oh man  that sucks. @Vincentdooly can you help @dsmoore out?
1,yea the weather sucks. At least you missed the 8 degree weather though lol.
0,don't forget ppl sitting around working in a tshirt/boxers lol. J/K  my wife is a neat freak & believe it or not I kind of am too
1,I do  but I'm an American. Hence  I'm a pussy.
1,God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...
0,Crying. Literally. You win. I'm destroyed  laughing and crying and I hate and love you all at once.
1,I take full pride in being a nerd. Hahah.
0,All computers hate you back! Haha...good luck.
0,Big Fat Quiz of The Year 2008 is on C4+1.
1,THAT'S AN UGLY ASS PICTURE!
1,Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!
0,damn it!
1,My grandmother is a big bitch and my father's a fraking arsehole.
0,Thing I hate the most = Alternate side of the street parking rules.
1,you must be bored...you are a twitter whore today. ;)
1,man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.
0,Awww bless  darling  you know you can *always* wear a wig and stilettos. In other news: National Treasure sucks.
1,just don't eat a meal replacement bar.. I fucking threw up!!
1,fuck duke!
1,"what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this"
0,Weird. I gotta say  I love my pig.
0,There was a SVT tweet-up last night  damn I was down at BJ's in Cupertino till 7ish
1,2 weeks? how am I gonna live without money for 2 fucking weeks?
0,i hate it when people buy stuff between thanksgiving and christmas!! Cuz then you don't know what to get them!!
1,Well get your ass busy!
1,Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!
1,damn that sucks..I hope you are ok now
1,haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!
1,Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?
1,"Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?"
1,Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you
1,Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.
1,Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount
1,If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know
1,you're a fucking maniac.
1,its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.
1,HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:
1,FUCK SUNDAY im super bummed.
1,whelchers fuckin suck ass!
1,some peoples drama just sucks!
1,well that sux donkey dick. No interwebs is kinda a pain for ur work.
1,Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.
1,today feels like sunday.....damn lol
1,Damn didnt even see that lol  : /
1,HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol
1,i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!
1,don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.
1,i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.
1,i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account
0,Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.
0,In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.
0,Hate them.  If I'm not pulled in by their previous tweet content I might even unfollow.  Basically still selling to a stranger.
1,no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.
1,here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!
1,no i think you will hate it. Its a bunch of dirty work.
1,the iced media party. Long ass day at the office  time for a drink or 3
1,easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first
1,@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...
1,LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!
1,You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL
1,@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!
0,Actually I have some problems with the British pronunciation... And yes  my Internet service sucks..
1,That sucks  they owe you much?
1,Boo  to be fair they shouldn't give away your room. Kick their ass!
1,Wow  that's bad-ass. You're like Stanley now. Well  even more so...
1,lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B
1,anna just has to ruin the holidays for me  just like every year. Damn you anna!
0,those will sell like hot cocks....cakes...hot cakes...damn it!
0,it's the power of having ass loads of money....some people could release an album of static and it'd still go platinum
0,damn  sorry to hear it
0,see previous. Damn twitter.
1,rock out with ur cock out dude!!!
1,that's a shame  I hate having to unfollow someone! :-P
1,BIG FAT HARD HAWAIIAN DICK. Too much?
1, i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?
1,LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...
1,Israelis to Spanish FM ... Kiss my ass.
1,No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.
1,I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.
1,Taking the piss = talking trash  perhaps
1,& @babysinead that dude is a fucking PSYCHO. i turned down working for him and he told ppl that I DID and that i was TROUBLE.
1,& @babysinead i've never even met him in person. he's a fucking douche.
1,I get that too! It sucks!
1,hey fag why you gotta ask the whole world!? j/k your awesome
1,gotta love the gay kid who was drumming trying to get his head in the pic tho HAHA
1,Sheeyat....Freezing rain is no punk. Hope you didn't fall & bust your ass in the parking lot.... I almost did.
1,Damn skippy. I should be dead 10 times over......
1,Its foggy as hell here too. Looks like damn Seattle.
0,"He's got NO right  but that makes no diff to him. He's just still mad he went from ""cotdamn!!"" to ""oh.....damn."""
1,lol penelope died?? thats so depressive  i have a compaq it sucks  i dont have a name for my computer tho : )
0,if u hate shapes  how can you pull shapes?
0,OMG. GREAT list! I can add to TMI Freak. Folo one who shares stories about sex toys. No joke.
1,Do you really have a big man ass?
0,I hate it so much! :)
1,i don't know that bambi's ass is a nice place. LOL
1,attention whore!
1,I laughed so hard when I first heard because my gay husband (good friend  lol) says code 3 when he has an emergency
1,http://twitpic.com/xipq - this only makes me hate having a verizon contract even more.  erg.
1,no guarantees.  hate the place. I'm ust going there to make sure my parents are still alive.
1,AWWWW I HATE THAT!!!! I had to buy that gadget you can stick your hard drive into to pull them off. SO SUCKS! Sorry. :0(
1,Praying for your grandmother and your momma. I hate that they are facing so much.
0,Would you mind if I blogged about it to? Hate doing that without asking first! #cleanup09
1,bitch please your gorgeous
0,IT'S SO FUCKING CUTE
1,i fucking hate that word  hahaha.
1,i know  haha. 1408 is so gay. i don't even know why i'm watching it.
1,omg - that sucks arse! I am so sorry =/
1,Sounds like good times. I'm in the office until 7:00 and then I'll probably go for a run. I'm a fat boy getting fatter.
1,Ye Olde Cock looks nice.
0,i hate it when that happens :)
0,so he isnt gay anymore?
1,sure you can  I'll hide the flashlight. go emo go!
1,emang lagu2nya emo? bukannya mellow? :D
1,gitu emo jaman dulu ya :D
1,Listen  RayRay  I gave you the lowdown as soon as I got it. I hadn't heard it b4 and I was shocked. She seems to hate his guts.
1,I thinks you meant to say that TWILIGHT was epic fail  not your mistake. I hate stephanie meyer and I've never even met her.
0,are you still at school?! Ha!! Sucks to be you!! I finished two and a half weeks ago.
1,lawl. Sucks to be THEM  then.
1,I'd die first. Damn fareway.
0,and THAT is why I hate that movie/musical. Despite the awesome music  there's no redemption  and I love redemption.
1,LMAO! He's horrible. The Beatles changed the fucking WORLD! And are still an icon to this day. Who the fuck are you?!?!?
0,oh and go blue whale watching. forgot to say.
0,I got a gigantic  bad ass pizza cutter.  It's not just for pizza anymore.
1,I need to see how this ravin rabids game works first. It'd all have to be in the ass moving. Maybe not moving enough = bad oral?
0,Me will be snoring in about 10... tired. I woke up at 5  damn it all
